"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2000","15.07","15.44","16.44","14.22","1.44M","-3.83%"
"01-06-2000","15.67","14.23","17.56","13.14","4.40M","9.81%"
"01-05-2000","14.27","12.67","14.99","10.57","6.09M","17.16%"
"01-04-2000","12.18","15.27","15.33","10.72","10.13M","-19.71%"
"01-03-2000","15.17","18.46","19.44","14.89","2.72M","-18.35%"
"01-02-2000","18.58","22.89","24.97","17.90","3.48M","-20.26%"
"01-01-2000","23.30","22.78","26.10","20.56","4.94M","0.95%"
"01-12-1999","23.08","24.87","25.32","22.78","7.26M","-5.56%"
"01-11-1999","24.44","26.33","28.33","22.78","7.63M","-9.92%"
"01-10-1999","27.13","25.23","29.56","23.44","11.26M","8.35%"
"01-09-1999","25.04","25.56","29.43","23.34","16.95M","-1.92%"
"01-08-1999","25.53","21.22","29.32","21.17","8.53M","20.88%"
"01-07-1999","21.12","17.03","27.89","16.71","18.09M","24.90%"
"01-06-1999","16.91","16.15","19.44","15.56","3.70M","1.32%"
"01-05-1999","16.69","12.56","20.78","12.44","12.55M","33.95%"
"01-04-1999","12.46","13.32","13.32","10.62","1.82M","-6.17%"
"01-03-1999","13.28","14.48","14.94","12.13","5.32M","-10.81%"
"01-02-1999","14.89","17.05","17.06","14.13","2.33M","-12.36%"
"01-01-1999","16.99","22.54","22.67","16.44","2.47M","-24.29%"
"01-12-1998","22.44","20.72","23.32","19.89","1.82M","8.56%"
"01-11-1998","20.67","19.47","21.67","19.39","1.57M","3.77%"
"01-10-1998","19.92","18.90","20.33","18.00","1.34M","2.05%"
"01-09-1998","19.52","19.44","22.78","19.33","3.84M","-1.41%"
"01-08-1998","19.80","18.33","21.91","18.33","14.69M","4.87%"
"01-07-1998","18.88","19.78","22.09","18.68","2.89M","-4.55%"
"01-06-1998","19.78","28.36","29.27","19.39","2.28M","-30.40%"
"01-05-1998","28.42","30.54","31.78","27.22","3.52M","-6.30%"
"01-04-1998","30.33","31.11","36.67","29.14","3.65M","-0.98%"
"01-03-1998","30.63","29.72","32.22","25.93","1.74M","4.54%"
